Most common words,JE relative frequency,WH relative frequency,Relative frequency difference
odd,6.687844841999666e-05,0.00028431808085295425,0.0002174396324329576
housekeeper,0.0001560497129799922,0.00037316748111950246,0.00021711776813951027
rough,0.0001560497129799922,0.00037316748111950246,0.00021711776813951027
times,0.00033439224209998327,0.0005508662816525988,0.00021647403955261555
pleasure,0.0008025413810399598,0.0005864060417592181,0.00021613533928074174
together,0.0005127347712199743,0.0007285650821856952,0.00021583031096572092
followed,0.0006241988519199688,0.0004087072412261217,0.00021549161069384706
feelings,0.0005350275873599733,0.0003198578409595735,0.00021516974640039974
open,0.000780248564899961,0.0009951132829853397,0.00021486471808537875
way,0.0016719612104999163,0.0014571301643713905,0.00021483104612852588
raised,0.00021178175332998942,0.00042647712127943135,0.00021469536794944193
use,0.0003901242824499805,0.0006041759218125278,0.00021405163936254727
hide,0.0,0.00021323856063971568,0.00021323856063971568
behaviour,0.0,0.00021323856063971568,0.00021323856063971568
sha,0.0,0.00021323856063971568,0.00021323856063971568
nowt,0.0,0.00021323856063971568,0.00021323856063971568
minny,0.0,0.00021323856063971568,0.00021323856063971568
walking,8.917126455999554e-05,0.0003020879609062639,0.00021291669634626836
notion,0.00017834252911999108,0.0003909373611728121,0.00021259483205282102
kill,5.5732040349997216e-05,0.0002665482007996446,0.0002108161604496474
sadly,2.2292816139998884e-05,0.00023100844069302533,0.00020871562455302645
wretch,2.2292816139998884e-05,0.00023100844069302533,0.00020871562455302645
exceedingly,2.2292816139998884e-05,0.00023100844069302533,0.00020871562455302645
sit,0.000679930892269966,0.000888494002665482,0.000208563110395516
snow,0.00020063534525998996,0.0004087072412261217,0.00020807189596613177
window,0.0008582734213899571,0.0010661928031985785,0.00020791938180862138
says,0.0002898066098199855,0.0004975566414926699,0.00020775003167268437
inquired,0.0002898066098199855,0.0004975566414926699,0.00020775003167268437
great,0.0013264225603299338,0.0011195024433585073,0.00020692011697142645
remove,7.80248564899961e-05,0.00028431808085295425,0.00020629322436295814
order,0.0004904419550799755,0.00028431808085295425,0.00020612387422702124
wish,0.0011815192554199409,0.001386050644158152,0.0002045313887382111
insisted,4.458563227999777e-05,0.00024877832074633494,0.00020419268846633718
guessed,4.458563227999777e-05,0.00024877832074633494,0.00020419268846633718
gentleman,0.00043470991472997826,0.00023100844069302533,0.00020370147403695293
name,0.0009140054617399543,0.0007107952021323857,0.00020321025960756862
give,0.0014824722733099258,0.001279431363838294,0.00020304090947163172
extremely,1.1146408069999442e-05,0.00021323856063971568,0.00020209215256971624
vexed,1.1146408069999442e-05,0.00021323856063971568,0.00020209215256971624
damn,1.1146408069999442e-05,0.00021323856063971568,0.00020209215256971624
owner,0.00010031767262999498,0.0003020879609062639,0.0002017702882762689
corner,0.00018948893718999052,0.0003909373611728121,0.00020144842398282158
hands,0.0008471270133199577,0.0010484229231452688,0.0002012959098253111
chamber,0.00045700273086997714,0.0006574855619724567,0.00020048283110247957
illness,6.687844841999666e-05,0.0002665482007996446,0.00019966975237964798
altered,6.687844841999666e-05,0.0002665482007996446,0.00019966975237964798
dress,0.0004124170985899794,0.00021323856063971568,0.0001991785379502637
pleased,0.00024522097753998775,0.000444247001332741,0.00019902602379275324
